%: table_doi: 10.17182/hepdata.68361.v1/t5
%: name: Table 5
%: description: QpPb CL1.

%: data_file: Table5.yaml
%: keyword reactions: P PB --> CHARGED X
%: keyword observables: DN/DPT
%: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence
%: $p_{T}$ (GeV/c),,,$Q_{pPb}$
%'$p_{T}$ (GeV/c)','$p_{T}$ (GeV/c) LOW','$p_{T}$ (GeV/c) HIGH','(0-5%)','stat +','stat -','sys +','sys -','sys,Common syst. unc. on TpA +','sys,Common syst. unc. on TpA -','sys,Common syst. unc. on Normalization +','sys,Common syst. unc. on Normalization -'
0.575,0.55,0.6,0.6142,0.0003,-0.0003,0.0538,-0.0538,0.034,-0.034,0.036,-0.036
0.625,0.6,0.65,0.636,0.0004,-0.0004,0.0539,-0.0539,0.034,-0.034,0.036,-0.036
0.675,0.65,0.7,0.6582,0.0004,-0.0004,0.0556,-0.0556,0.034,-0.034,0.036,-0.036
0.725,0.7,0.75,0.6814,0.0005,-0.0005,0.0574,-0.0574,0.034,-0.034,0.036,-0.036
0.775,0.75,0.8,0.7041,0.0005,-0.0005,0.0591,-0.0591,0.034,-0.034,0.036,-0.036
0.825,0.8,0.85,0.7272,0.0006,-0.0006,0.0608,-0.0608,0.034,-0.034,0.036,-0.036
0.875,0.85,0.9,0.7458,0.0006,-0.0006,0.0621,-0.0621,0.034,-0.034,0.036,-0.036
0.925,0.9,0.95,0.7652,0.0007,-0.0007,0.0635,-0.0635,0.034,-0.034,0.036,-0.036
0.975,0.95,1.0,0.7831,0.0007,-0.0007,0.0647,-0.0647,0.034,-0.034,0.036,-0.036
1.05,1.0,1.1,0.8164,0.0005,-0.0005,0.0676,-0.0676,0.034,-0.034,0.036,-0.036
1.15,1.1,1.2,0.8575,0.0006,-0.0006,0.0715,-0.0715,0.034,-0.034,0.036,-0.036
1.25,1.2,1.3,0.8943,0.0008,-0.0008,0.0782,-0.0782,0.034,-0.034,0.036,-0.036
1.35,1.3,1.4,0.9322,0.0009,-0.0009,0.0814,-0.0814,0.034,-0.034,0.036,-0.036
1.45,1.4,1.5,0.9658,0.001,-0.001,0.0802,-0.0802,0.034,-0.034,0.036,-0.036
1.55,1.5,1.6,0.9992,0.0011,-0.0011,0.0827,-0.0827,0.034,-0.034,0.036,-0.036
1.65,1.6,1.7,1.0249,0.0013,-0.0013,0.0862,-0.0862,0.034,-0.034,0.036,-0.036
1.75,1.7,1.8,1.0611,0.0015,-0.0015,0.0887,-0.0887,0.034,-0.034,0.036,-0.036
1.85,1.8,1.9,1.0901,0.0017,-0.0017,0.09,-0.09,0.034,-0.034,0.036,-0.036
1.95,1.9,2.0,1.1226,0.0019,-0.0019,0.0919,-0.0919,0.034,-0.034,0.036,-0.036
2.1,2.0,2.2,1.1521,0.0016,-0.0016,0.0942,-0.0942,0.034,-0.034,0.036,-0.036
2.3,2.2,2.4,1.1897,0.0019,-0.0019,0.0975,-0.0975,0.034,-0.034,0.036,-0.036
2.5,2.4,2.6,1.2272,0.0023,-0.0023,0.1002,-0.1002,0.034,-0.034,0.036,-0.036
2.7,2.6,2.8,1.2532,0.0027,-0.0027,0.1021,-0.1021,0.034,-0.034,0.036,-0.036
